id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
16017	genus	Vagococcus	2	5	6			5.50	0.50	[6, 5]
16018	genus	Francisella	15	1	3			2.94	0.15	[3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3]
16019	genus	Vulcanisaeta	2	1	1			1.00	0.00	[1, 1]
16020	genus	Mucinivorans	1	2	2			2.00	0.00	[2]
16021	genus	Arcticibacterium	1	2	2			2.00	0.00	[2]
16022	genus	Burkholderia	50	2	7			5.32	0.92	[6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 6, 6, 6, 2, 6, 6, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 4, 4, 6, 6, 4, 5, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 5, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 5, 5, 5, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 6, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 6]
16023	genus	Hafnia	2	7	8			7.88	0.12	[8, 8, 8, 7, 8]
16024	genus	Rhizorhabdus	1	2	2			2.00	0.00	[2]
16025	genus	Ornithinimicrobium	1	2	2			2.00	0.00	[2]
16026	genus	Rahnella	2	7	7			7.00	0.00	[7, 7]
16027	genus	Altererythrobacter	7	1	2			1.14	0.35	[1, 1, 1, 1, 1, 2, 1]
16028	genus	Rothia	3	3	3			3.00	0.00	[3, 3, 3, 3, 3]
16029	genus	Ectothiorhodospira	1	2	2			2.00	0.00	[2]
16030	genus	Lentibacillus	1	6	6			6.00	0.00	[6]
16031	genus	Syntrophothermus	1	2	2			2.00	0.00	[2]
